category,url
The Eiffel Tower,https://storage.googleapis.com/quickdraw_dataset/full/raw/The Eiffel Tower.ndjson
The Great Wall of China,https://storage.googleapis.com/quickdraw_dataset/full/raw/The Great Wall of China.ndjson
The Mona Lisa,https://storage.googleapis.com/quickdraw_dataset/full/raw/The Mona Lisa.ndjson
aircraft carrier,https://storage.googleapis.com/quickdraw_dataset/full/raw/aircraft carrier.ndjson
airplane,https://storage.googleapis.com/quickdraw_dataset/full/raw/airplane.ndjson
alarm clock,https://storage.googleapis.com/quickdraw_dataset/full/raw/alarm clock.ndjson
ambulance,https://storage.googleapis.com/quickdraw_dataset/full/raw/ambulance.ndjson
angel,https://storage.googleapis.com/quickdraw_dataset/full/raw/angel.ndjson
animal migration,https://storage.googleapis.com/quickdraw_dataset/full/raw/animal migration.ndjson
ant,https://storage.googleapis.com/quickdraw_dataset/full/raw/ant.ndjson
anvil,https://storage.googleapis.com/quickdraw_dataset/full/raw/anvil.ndjson
apple,https://storage.googleapis.com/quickdraw_dataset/full/raw/apple.ndjson
arm,https://storage.googleapis.com/quickdraw_dataset/full/raw/arm.ndjson
asparagus,https://storage.googleapis.com/quickdraw_dataset/full/raw/asparagus.ndjson
axe,https://storage.googleapis.com/quickdraw_dataset/full/raw/axe.ndjson
backpack,https://storage.googleapis.com/quickdraw_dataset/full/raw/backpack.ndjson
banana,https://storage.googleapis.com/quickdraw_dataset/full/raw/banana.ndjson
bandage,https://storage.googleapis.com/quickdraw_dataset/full/raw/bandage.ndjson
barn,https://storage.googleapis.com/quickdraw_dataset/full/raw/barn.ndjson
baseball bat,https://storage.googleapis.com/quickdraw_dataset/full/raw/baseball bat.ndjson
baseball,https://storage.googleapis.com/quickdraw_dataset/full/raw/baseball.ndjson
basket,https://storage.googleapis.com/quickdraw_dataset/full/raw/basket.ndjson
basketball,https://storage.googleapis.com/quickdraw_dataset/full/raw/basketball.ndjson
bat,https://storage.googleapis.com/quickdraw_dataset/full/raw/bat.ndjson
bathtub,https://storage.googleapis.com/quickdraw_dataset/full/raw/bathtub.ndjson
beach,https://storage.googleapis.com/quickdraw_dataset/full/raw/beach.ndjson
bear,https://storage.googleapis.com/quickdraw_dataset/full/raw/bear.ndjson
beard,https://storage.googleapis.com/quickdraw_dataset/full/raw/beard.ndjson
bed,https://storage.googleapis.com/quickdraw_dataset/full/raw/bed.ndjson
bee,https://storage.googleapis.com/quickdraw_dataset/full/raw/bee.ndjson
belt,https://storage.googleapis.com/quickdraw_dataset/full/raw/belt.ndjson
bench,https://storage.googleapis.com/quickdraw_dataset/full/raw/bench.ndjson
bicycle,https://storage.googleapis.com/quickdraw_dataset/full/raw/bicycle.ndjson
binoculars,https://storage.googleapis.com/quickdraw_dataset/full/raw/binoculars.ndjson
bird,https://storage.googleapis.com/quickdraw_dataset/full/raw/bird.ndjson
birthday cake,https://storage.googleapis.com/quickdraw_dataset/full/raw/birthday cake.ndjson
blackberry,https://storage.googleapis.com/quickdraw_dataset/full/raw/blackberry.ndjson
blueberry,https://storage.googleapis.com/quickdraw_dataset/full/raw/blueberry.ndjson
book,https://storage.googleapis.com/quickdraw_dataset/full/raw/book.ndjson
boomerang,https://storage.googleapis.com/quickdraw_dataset/full/raw/boomerang.ndjson
bottlecap,https://storage.googleapis.com/quickdraw_dataset/full/raw/bottlecap.ndjson
bowtie,https://storage.googleapis.com/quickdraw_dataset/full/raw/bowtie.ndjson
bracelet,https://storage.googleapis.com/quickdraw_dataset/full/raw/bracelet.ndjson
brain,https://storage.googleapis.com/quickdraw_dataset/full/raw/brain.ndjson
bread,https://storage.googleapis.com/quickdraw_dataset/full/raw/bread.ndjson
bridge,https://storage.googleapis.com/quickdraw_dataset/full/raw/bridge.ndjson
broccoli,https://storage.googleapis.com/quickdraw_dataset/full/raw/broccoli.ndjson
broom,https://storage.googleapis.com/quickdraw_dataset/full/raw/broom.ndjson
bucket,https://storage.googleapis.com/quickdraw_dataset/full/raw/bucket.ndjson
bulldozer,https://storage.googleapis.com/quickdraw_dataset/full/raw/bulldozer.ndjson
bus,https://storage.googleapis.com/quickdraw_dataset/full/raw/bus.ndjson
bush,https://storage.googleapis.com/quickdraw_dataset/full/raw/bush.ndjson
butterfly,https://storage.googleapis.com/quickdraw_dataset/full/raw/butterfly.ndjson
cactus,https://storage.googleapis.com/quickdraw_dataset/full/raw/cactus.ndjson
cake,https://storage.googleapis.com/quickdraw_dataset/full/raw/cake.ndjson
calculator,https://storage.googleapis.com/quickdraw_dataset/full/raw/calculator.ndjson
calendar,https://storage.googleapis.com/quickdraw_dataset/full/raw/calendar.ndjson
camel,https://storage.googleapis.com/quickdraw_dataset/full/raw/camel.ndjson
camera,https://storage.googleapis.com/quickdraw_dataset/full/raw/camera.ndjson
camouflage,https://storage.googleapis.com/quickdraw_dataset/full/raw/camouflage.ndjson
campfire,https://storage.googleapis.com/quickdraw_dataset/full/raw/campfire.ndjson
candle,https://storage.googleapis.com/quickdraw_dataset/full/raw/candle.ndjson
cannon,https://storage.googleapis.com/quickdraw_dataset/full/raw/cannon.ndjson
canoe,https://storage.googleapis.com/quickdraw_dataset/full/raw/canoe.ndjson
car,https://storage.googleapis.com/quickdraw_dataset/full/raw/car.ndjson
carrot,https://storage.googleapis.com/quickdraw_dataset/full/raw/carrot.ndjson
castle,https://storage.googleapis.com/quickdraw_dataset/full/raw/castle.ndjson
cat,https://storage.googleapis.com/quickdraw_dataset/full/raw/cat.ndjson
ceiling fan,https://storage.googleapis.com/quickdraw_dataset/full/raw/ceiling fan.ndjson
cell phone,https://storage.googleapis.com/quickdraw_dataset/full/raw/cell phone.ndjson
cello,https://storage.googleapis.com/quickdraw_dataset/full/raw/cello.ndjson
chair,https://storage.googleapis.com/quickdraw_dataset/full/raw/chair.ndjson
chandelier,https://storage.googleapis.com/quickdraw_dataset/full/raw/chandelier.ndjson
church,https://storage.googleapis.com/quickdraw_dataset/full/raw/church.ndjson
circle,https://storage.googleapis.com/quickdraw_dataset/full/raw/circle.ndjson
clarinet,https://storage.googleapis.com/quickdraw_dataset/full/raw/clarinet.ndjson
clock,https://storage.googleapis.com/quickdraw_dataset/full/raw/clock.ndjson
cloud,https://storage.googleapis.com/quickdraw_dataset/full/raw/cloud.ndjson
coffee cup,https://storage.googleapis.com/quickdraw_dataset/full/raw/coffee cup.ndjson
compass,https://storage.googleapis.com/quickdraw_dataset/full/raw/compass.ndjson
computer,https://storage.googleapis.com/quickdraw_dataset/full/raw/computer.ndjson
cookie,https://storage.googleapis.com/quickdraw_dataset/full/raw/cookie.ndjson
cooler,https://storage.googleapis.com/quickdraw_dataset/full/raw/cooler.ndjson
couch,https://storage.googleapis.com/quickdraw_dataset/full/raw/couch.ndjson
cow,https://storage.googleapis.com/quickdraw_dataset/full/raw/cow.ndjson
crab,https://storage.googleapis.com/quickdraw_dataset/full/raw/crab.ndjson
crayon,https://storage.googleapis.com/quickdraw_dataset/full/raw/crayon.ndjson
crocodile,https://storage.googleapis.com/quickdraw_dataset/full/raw/crocodile.ndjson
crown,https://storage.googleapis.com/quickdraw_dataset/full/raw/crown.ndjson
cruise ship,https://storage.googleapis.com/quickdraw_dataset/full/raw/cruise ship.ndjson
cup,https://storage.googleapis.com/quickdraw_dataset/full/raw/cup.ndjson
diamond,https://storage.googleapis.com/quickdraw_dataset/full/raw/diamond.ndjson
dishwasher,https://storage.googleapis.com/quickdraw_dataset/full/raw/dishwasher.ndjson
diving board,https://storage.googleapis.com/quickdraw_dataset/full/raw/diving board.ndjson
dog,https://storage.googleapis.com/quickdraw_dataset/full/raw/dog.ndjson
dolphin,https://storage.googleapis.com/quickdraw_dataset/full/raw/dolphin.ndjson
donut,https://storage.googleapis.com/quickdraw_dataset/full/raw/donut.ndjson
door,https://storage.googleapis.com/quickdraw_dataset/full/raw/door.ndjson
dragon,https://storage.googleapis.com/quickdraw_dataset/full/raw/dragon.ndjson
dresser,https://storage.googleapis.com/quickdraw_dataset/full/raw/dresser.ndjson
drill,https://storage.googleapis.com/quickdraw_dataset/full/raw/drill.ndjson
drums,https://storage.googleapis.com/quickdraw_dataset/full/raw/drums.ndjson
duck,https://storage.googleapis.com/quickdraw_dataset/full/raw/duck.ndjson
dumbbell,https://storage.googleapis.com/quickdraw_dataset/full/raw/dumbbell.ndjson
ear,https://storage.googleapis.com/quickdraw_dataset/full/raw/ear.ndjson
elbow,https://storage.googleapis.com/quickdraw_dataset/full/raw/elbow.ndjson
elephant,https://storage.googleapis.com/quickdraw_dataset/full/raw/elephant.ndjson
envelope,https://storage.googleapis.com/quickdraw_dataset/full/raw/envelope.ndjson
eraser,https://storage.googleapis.com/quickdraw_dataset/full/raw/eraser.ndjson
eye,https://storage.googleapis.com/quickdraw_dataset/full/raw/eye.ndjson
eyeglasses,https://storage.googleapis.com/quickdraw_dataset/full/raw/eyeglasses.ndjson
face,https://storage.googleapis.com/quickdraw_dataset/full/raw/face.ndjson
fan,https://storage.googleapis.com/quickdraw_dataset/full/raw/fan.ndjson
feather,https://storage.googleapis.com/quickdraw_dataset/full/raw/feather.ndjson
fence,https://storage.googleapis.com/quickdraw_dataset/full/raw/fence.ndjson
finger,https://storage.googleapis.com/quickdraw_dataset/full/raw/finger.ndjson
fire hydrant,https://storage.googleapis.com/quickdraw_dataset/full/raw/fire hydrant.ndjson
fireplace,https://storage.googleapis.com/quickdraw_dataset/full/raw/fireplace.ndjson
firetruck,https://storage.googleapis.com/quickdraw_dataset/full/raw/firetruck.ndjson
fish,https://storage.googleapis.com/quickdraw_dataset/full/raw/fish.ndjson
flamingo,https://storage.googleapis.com/quickdraw_dataset/full/raw/flamingo.ndjson
flashlight,https://storage.googleapis.com/quickdraw_dataset/full/raw/flashlight.ndjson
flip flops,https://storage.googleapis.com/quickdraw_dataset/full/raw/flip flops.ndjson
floor lamp,https://storage.googleapis.com/quickdraw_dataset/full/raw/floor lamp.ndjson
flower,https://storage.googleapis.com/quickdraw_dataset/full/raw/flower.ndjson
flying saucer,https://storage.googleapis.com/quickdraw_dataset/full/raw/flying saucer.ndjson
foot,https://storage.googleapis.com/quickdraw_dataset/full/raw/foot.ndjson
fork,https://storage.googleapis.com/quickdraw_dataset/full/raw/fork.ndjson
frog,https://storage.googleapis.com/quickdraw_dataset/full/raw/frog.ndjson
frying pan,https://storage.googleapis.com/quickdraw_dataset/full/raw/frying pan.ndjson
garden hose,https://storage.googleapis.com/quickdraw_dataset/full/raw/garden hose.ndjson
garden,https://storage.googleapis.com/quickdraw_dataset/full/raw/garden.ndjson
giraffe,https://storage.googleapis.com/quickdraw_dataset/full/raw/giraffe.ndjson
goatee,https://storage.googleapis.com/quickdraw_dataset/full/raw/goatee.ndjson
golf club,https://storage.googleapis.com/quickdraw_dataset/full/raw/golf club.ndjson
grapes,https://storage.googleapis.com/quickdraw_dataset/full/raw/grapes.ndjson
grass,https://storage.googleapis.com/quickdraw_dataset/full/raw/grass.ndjson
guitar,https://storage.googleapis.com/quickdraw_dataset/full/raw/guitar.ndjson
hamburger,https://storage.googleapis.com/quickdraw_dataset/full/raw/hamburger.ndjson
hammer,https://storage.googleapis.com/quickdraw_dataset/full/raw/hammer.ndjson
hand,https://storage.googleapis.com/quickdraw_dataset/full/raw/hand.ndjson
harp,https://storage.googleapis.com/quickdraw_dataset/full/raw/harp.ndjson
hat,https://storage.googleapis.com/quickdraw_dataset/full/raw/hat.ndjson
headphones,https://storage.googleapis.com/quickdraw_dataset/full/raw/headphones.ndjson
hedgehog,https://storage.googleapis.com/quickdraw_dataset/full/raw/hedgehog.ndjson
helicopter,https://storage.googleapis.com/quickdraw_dataset/full/raw/helicopter.ndjson
helmet,https://storage.googleapis.com/quickdraw_dataset/full/raw/helmet.ndjson
hexagon,https://storage.googleapis.com/quickdraw_dataset/full/raw/hexagon.ndjson
hockey puck,https://storage.googleapis.com/quickdraw_dataset/full/raw/hockey puck.ndjson
hockey stick,https://storage.googleapis.com/quickdraw_dataset/full/raw/hockey stick.ndjson
horse,https://storage.googleapis.com/quickdraw_dataset/full/raw/horse.ndjson
hospital,https://storage.googleapis.com/quickdraw_dataset/full/raw/hospital.ndjson
hot air balloon,https://storage.googleapis.com/quickdraw_dataset/full/raw/hot air balloon.ndjson
hot dog,https://storage.googleapis.com/quickdraw_dataset/full/raw/hot dog.ndjson
hot tub,https://storage.googleapis.com/quickdraw_dataset/full/raw/hot tub.ndjson
hourglass,https://storage.googleapis.com/quickdraw_dataset/full/raw/hourglass.ndjson
house plant,https://storage.googleapis.com/quickdraw_dataset/full/raw/house plant.ndjson
house,https://storage.googleapis.com/quickdraw_dataset/full/raw/house.ndjson
hurricane,https://storage.googleapis.com/quickdraw_dataset/full/raw/hurricane.ndjson
ice cream,https://storage.googleapis.com/quickdraw_dataset/full/raw/ice cream.ndjson
jacket,https://storage.googleapis.com/quickdraw_dataset/full/raw/jacket.ndjson
jail,https://storage.googleapis.com/quickdraw_dataset/full/raw/jail.ndjson
kangaroo,https://storage.googleapis.com/quickdraw_dataset/full/raw/kangaroo.ndjson
key,https://storage.googleapis.com/quickdraw_dataset/full/raw/key.ndjson
keyboard,https://storage.googleapis.com/quickdraw_dataset/full/raw/keyboard.ndjson
knee,https://storage.googleapis.com/quickdraw_dataset/full/raw/knee.ndjson
knife,https://storage.googleapis.com/quickdraw_dataset/full/raw/knife.ndjson
ladder,https://storage.googleapis.com/quickdraw_dataset/full/raw/ladder.ndjson
lantern,https://storage.googleapis.com/quickdraw_dataset/full/raw/lantern.ndjson
laptop,https://storage.googleapis.com/quickdraw_dataset/full/raw/laptop.ndjson
leaf,https://storage.googleapis.com/quickdraw_dataset/full/raw/leaf.ndjson
leg,https://storage.googleapis.com/quickdraw_dataset/full/raw/leg.ndjson
light bulb,https://storage.googleapis.com/quickdraw_dataset/full/raw/light bulb.ndjson
lighter,https://storage.googleapis.com/quickdraw_dataset/full/raw/lighter.ndjson
lighthouse,https://storage.googleapis.com/quickdraw_dataset/full/raw/lighthouse.ndjson
lightning,https://storage.googleapis.com/quickdraw_dataset/full/raw/lightning.ndjson
line,https://storage.googleapis.com/quickdraw_dataset/full/raw/line.ndjson
lion,https://storage.googleapis.com/quickdraw_dataset/full/raw/lion.ndjson
lipstick,https://storage.googleapis.com/quickdraw_dataset/full/raw/lipstick.ndjson
lobster,https://storage.googleapis.com/quickdraw_dataset/full/raw/lobster.ndjson
lollipop,https://storage.googleapis.com/quickdraw_dataset/full/raw/lollipop.ndjson
mailbox,https://storage.googleapis.com/quickdraw_dataset/full/raw/mailbox.ndjson
map,https://storage.googleapis.com/quickdraw_dataset/full/raw/map.ndjson
marker,https://storage.googleapis.com/quickdraw_dataset/full/raw/marker.ndjson
matches,https://storage.googleapis.com/quickdraw_dataset/full/raw/matches.ndjson
megaphone,https://storage.googleapis.com/quickdraw_dataset/full/raw/megaphone.ndjson
mermaid,https://storage.googleapis.com/quickdraw_dataset/full/raw/mermaid.ndjson
microphone,https://storage.googleapis.com/quickdraw_dataset/full/raw/microphone.ndjson
microwave,https://storage.googleapis.com/quickdraw_dataset/full/raw/microwave.ndjson
monkey,https://storage.googleapis.com/quickdraw_dataset/full/raw/monkey.ndjson
moon,https://storage.googleapis.com/quickdraw_dataset/full/raw/moon.ndjson
mosquito,https://storage.googleapis.com/quickdraw_dataset/full/raw/mosquito.ndjson
motorbike,https://storage.googleapis.com/quickdraw_dataset/full/raw/motorbike.ndjson
mountain,https://storage.googleapis.com/quickdraw_dataset/full/raw/mountain.ndjson
mouse,https://storage.googleapis.com/quickdraw_dataset/full/raw/mouse.ndjson
moustache,https://storage.googleapis.com/quickdraw_dataset/full/raw/moustache.ndjson
mouth,https://storage.googleapis.com/quickdraw_dataset/full/raw/mouth.ndjson
mug,https://storage.googleapis.com/quickdraw_dataset/full/raw/mug.ndjson
mushroom,https://storage.googleapis.com/quickdraw_dataset/full/raw/mushroom.ndjson
nail,https://storage.googleapis.com/quickdraw_dataset/full/raw/nail.ndjson
necklace,https://storage.googleapis.com/quickdraw_dataset/full/raw/necklace.ndjson
nose,https://storage.googleapis.com/quickdraw_dataset/full/raw/nose.ndjson
ocean,https://storage.googleapis.com/quickdraw_dataset/full/raw/ocean.ndjson
octagon,https://storage.googleapis.com/quickdraw_dataset/full/raw/octagon.ndjson
octopus,https://storage.googleapis.com/quickdraw_dataset/full/raw/octopus.ndjson
onion,https://storage.googleapis.com/quickdraw_dataset/full/raw/onion.ndjson
oven,https://storage.googleapis.com/quickdraw_dataset/full/raw/oven.ndjson
owl,https://storage.googleapis.com/quickdraw_dataset/full/raw/owl.ndjson
paint can,https://storage.googleapis.com/quickdraw_dataset/full/raw/paint can.ndjson
paintbrush,https://storage.googleapis.com/quickdraw_dataset/full/raw/paintbrush.ndjson
palm tree,https://storage.googleapis.com/quickdraw_dataset/full/raw/palm tree.ndjson
panda,https://storage.googleapis.com/quickdraw_dataset/full/raw/panda.ndjson
pants,https://storage.googleapis.com/quickdraw_dataset/full/raw/pants.ndjson
paper clip,https://storage.googleapis.com/quickdraw_dataset/full/raw/paper clip.ndjson
parachute,https://storage.googleapis.com/quickdraw_dataset/full/raw/parachute.ndjson
parrot,https://storage.googleapis.com/quickdraw_dataset/full/raw/parrot.ndjson
passport,https://storage.googleapis.com/quickdraw_dataset/full/raw/passport.ndjson
peanut,https://storage.googleapis.com/quickdraw_dataset/full/raw/peanut.ndjson
pear,https://storage.googleapis.com/quickdraw_dataset/full/raw/pear.ndjson
peas,https://storage.googleapis.com/quickdraw_dataset/full/raw/peas.ndjson
pencil,https://storage.googleapis.com/quickdraw_dataset/full/raw/pencil.ndjson
penguin,https://storage.googleapis.com/quickdraw_dataset/full/raw/penguin.ndjson
piano,https://storage.googleapis.com/quickdraw_dataset/full/raw/piano.ndjson
pickup truck,https://storage.googleapis.com/quickdraw_dataset/full/raw/pickup truck.ndjson
picture frame,https://storage.googleapis.com/quickdraw_dataset/full/raw/picture frame.ndjson
pig,https://storage.googleapis.com/quickdraw_dataset/full/raw/pig.ndjson
pillow,https://storage.googleapis.com/quickdraw_dataset/full/raw/pillow.ndjson
pineapple,https://storage.googleapis.com/quickdraw_dataset/full/raw/pineapple.ndjson
pizza,https://storage.googleapis.com/quickdraw_dataset/full/raw/pizza.ndjson
pliers,https://storage.googleapis.com/quickdraw_dataset/full/raw/pliers.ndjson
police car,https://storage.googleapis.com/quickdraw_dataset/full/raw/police car.ndjson
pond,https://storage.googleapis.com/quickdraw_dataset/full/raw/pond.ndjson
pool,https://storage.googleapis.com/quickdraw_dataset/full/raw/pool.ndjson
popsicle,https://storage.googleapis.com/quickdraw_dataset/full/raw/popsicle.ndjson
postcard,https://storage.googleapis.com/quickdraw_dataset/full/raw/postcard.ndjson
potato,https://storage.googleapis.com/quickdraw_dataset/full/raw/potato.ndjson
power outlet,https://storage.googleapis.com/quickdraw_dataset/full/raw/power outlet.ndjson
purse,https://storage.googleapis.com/quickdraw_dataset/full/raw/purse.ndjson
rabbit,https://storage.googleapis.com/quickdraw_dataset/full/raw/rabbit.ndjson
raccoon,https://storage.googleapis.com/quickdraw_dataset/full/raw/raccoon.ndjson
radio,https://storage.googleapis.com/quickdraw_dataset/full/raw/radio.ndjson
rain,https://storage.googleapis.com/quickdraw_dataset/full/raw/rain.ndjson
rainbow,https://storage.googleapis.com/quickdraw_dataset/full/raw/rainbow.ndjson
rake,https://storage.googleapis.com/quickdraw_dataset/full/raw/rake.ndjson
remote control,https://storage.googleapis.com/quickdraw_dataset/full/raw/remote control.ndjson
rhinoceros,https://storage.googleapis.com/quickdraw_dataset/full/raw/rhinoceros.ndjson
rifle,https://storage.googleapis.com/quickdraw_dataset/full/raw/rifle.ndjson
river,https://storage.googleapis.com/quickdraw_dataset/full/raw/river.ndjson
roller coaster,https://storage.googleapis.com/quickdraw_dataset/full/raw/roller coaster.ndjson
rollerskates,https://storage.googleapis.com/quickdraw_dataset/full/raw/rollerskates.ndjson
sailboat,https://storage.googleapis.com/quickdraw_dataset/full/raw/sailboat.ndjson
sandwich,https://storage.googleapis.com/quickdraw_dataset/full/raw/sandwich.ndjson
saw,https://storage.googleapis.com/quickdraw_dataset/full/raw/saw.ndjson
saxophone,https://storage.googleapis.com/quickdraw_dataset/full/raw/saxophone.ndjson
school bus,https://storage.googleapis.com/quickdraw_dataset/full/raw/school bus.ndjson
scissors,https://storage.googleapis.com/quickdraw_dataset/full/raw/scissors.ndjson
scorpion,https://storage.googleapis.com/quickdraw_dataset/full/raw/scorpion.ndjson
screwdriver,https://storage.googleapis.com/quickdraw_dataset/full/raw/screwdriver.ndjson
sea turtle,https://storage.googleapis.com/quickdraw_dataset/full/raw/sea turtle.ndjson
see saw,https://storage.googleapis.com/quickdraw_dataset/full/raw/see saw.ndjson
shark,https://storage.googleapis.com/quickdraw_dataset/full/raw/shark.ndjson
sheep,https://storage.googleapis.com/quickdraw_dataset/full/raw/sheep.ndjson
shoe,https://storage.googleapis.com/quickdraw_dataset/full/raw/shoe.ndjson
shorts,https://storage.googleapis.com/quickdraw_dataset/full/raw/shorts.ndjson
shovel,https://storage.googleapis.com/quickdraw_dataset/full/raw/shovel.ndjson
sink,https://storage.googleapis.com/quickdraw_dataset/full/raw/sink.ndjson
skateboard,https://storage.googleapis.com/quickdraw_dataset/full/raw/skateboard.ndjson
skull,https://storage.googleapis.com/quickdraw_dataset/full/raw/skull.ndjson
skyscraper,https://storage.googleapis.com/quickdraw_dataset/full/raw/skyscraper.ndjson
sleeping bag,https://storage.googleapis.com/quickdraw_dataset/full/raw/sleeping bag.ndjson
smiley face,https://storage.googleapis.com/quickdraw_dataset/full/raw/smiley face.ndjson
snail,https://storage.googleapis.com/quickdraw_dataset/full/raw/snail.ndjson
snake,https://storage.googleapis.com/quickdraw_dataset/full/raw/snake.ndjson
snorkel,https://storage.googleapis.com/quickdraw_dataset/full/raw/snorkel.ndjson
snowflake,https://storage.googleapis.com/quickdraw_dataset/full/raw/snowflake.ndjson
snowman,https://storage.googleapis.com/quickdraw_dataset/full/raw/snowman.ndjson
soccer ball,https://storage.googleapis.com/quickdraw_dataset/full/raw/soccer ball.ndjson
sock,https://storage.googleapis.com/quickdraw_dataset/full/raw/sock.ndjson
speedboat,https://storage.googleapis.com/quickdraw_dataset/full/raw/speedboat.ndjson
spider,https://storage.googleapis.com/quickdraw_dataset/full/raw/spider.ndjson
spoon,https://storage.googleapis.com/quickdraw_dataset/full/raw/spoon.ndjson
spreadsheet,https://storage.googleapis.com/quickdraw_dataset/full/raw/spreadsheet.ndjson
square,https://storage.googleapis.com/quickdraw_dataset/full/raw/square.ndjson
squiggle,https://storage.googleapis.com/quickdraw_dataset/full/raw/squiggle.ndjson
squirrel,https://storage.googleapis.com/quickdraw_dataset/full/raw/squirrel.ndjson
stairs,https://storage.googleapis.com/quickdraw_dataset/full/raw/stairs.ndjson
star,https://storage.googleapis.com/quickdraw_dataset/full/raw/star.ndjson
steak,https://storage.googleapis.com/quickdraw_dataset/full/raw/steak.ndjson
stereo,https://storage.googleapis.com/quickdraw_dataset/full/raw/stereo.ndjson
stethoscope,https://storage.googleapis.com/quickdraw_dataset/full/raw/stethoscope.ndjson
stitches,https://storage.googleapis.com/quickdraw_dataset/full/raw/stitches.ndjson
stop sign,https://storage.googleapis.com/quickdraw_dataset/full/raw/stop sign.ndjson
stove,https://storage.googleapis.com/quickdraw_dataset/full/raw/stove.ndjson
strawberry,https://storage.googleapis.com/quickdraw_dataset/full/raw/strawberry.ndjson
streetlight,https://storage.googleapis.com/quickdraw_dataset/full/raw/streetlight.ndjson
string bean,https://storage.googleapis.com/quickdraw_dataset/full/raw/string bean.ndjson
submarine,https://storage.googleapis.com/quickdraw_dataset/full/raw/submarine.ndjson
suitcase,https://storage.googleapis.com/quickdraw_dataset/full/raw/suitcase.ndjson
sun,https://storage.googleapis.com/quickdraw_dataset/full/raw/sun.ndjson
swan,https://storage.googleapis.com/quickdraw_dataset/full/raw/swan.ndjson
sweater,https://storage.googleapis.com/quickdraw_dataset/full/raw/sweater.ndjson
swing set,https://storage.googleapis.com/quickdraw_dataset/full/raw/swing set.ndjson
sword,https://storage.googleapis.com/quickdraw_dataset/full/raw/sword.ndjson
syringe,https://storage.googleapis.com/quickdraw_dataset/full/raw/syringe.ndjson
t-shirt,https://storage.googleapis.com/quickdraw_dataset/full/raw/t-shirt.ndjson
table,https://storage.googleapis.com/quickdraw_dataset/full/raw/table.ndjson
teapot,https://storage.googleapis.com/quickdraw_dataset/full/raw/teapot.ndjson
teddy-bear,https://storage.googleapis.com/quickdraw_dataset/full/raw/teddy-bear.ndjson
telephone,https://storage.googleapis.com/quickdraw_dataset/full/raw/telephone.ndjson
